# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	ATAC_gain	ATAC_loss
GM.5.0.Runt.0005	-0.0	2.7193834957276977
GM.5.0.E2F.0005	0.5586402624462032	-0.0
GM.5.0.Nuclear_receptor.0149	-0.0	1.0888677297354823
GM.5.0.C2H2_ZF.0162	1.096668081711734	-0.0
GM.5.0.STAT.0019	-0.0	1.5068249556093218
GM.5.0.Sox.0027	0.2638585073707869	-0.0
GM.5.0.Nuclear_receptor.0056	-0.0	3.367521163870146
GM.5.0.Unknown.0114	-0.0	0.20178565789034678
GM.5.0.Paired_box.0009	-0.0	2.2173520669098874
GM.5.0.Nuclear_receptor.0128	-0.0	0.7620393345936256
GM.5.0.C2H2_ZF.0034	0.2005625731225969	-0.0
GM.5.0.IRF.0017	-0.0	2.6268042089873798
GM.5.0.C2H2_ZF.0108	-0.0	0.5847169571289896
GM.5.0.Forkhead.0037	0.07473373670293158	-0.0
GM.5.0.C2H2_ZF.0092	-0.0	0.2808483728285426
GM.5.0.HSF.0003	-0.0	0.10033486125870947
GM.5.0.C2H2_ZF.0251	-0.0	0.6094533458475984
GM.5.0.Nuclear_receptor.0118	-0.0	5.137110127581932
GM.5.0.C2H2_ZF.0154	-0.0	0.13699814836339674
GM.5.0.C2H2_ZF.0173	-0.0	1.0382131142864008
GM.5.0.Unknown.0150	-0.0	4.062275996615563
GM.5.0.E2F.0012	0.33604501240394524	-0.0
GM.5.0.bZIP.0073	-0.0	0.05635281985711008
GM.5.0.Unknown.0014	-0.0	1.3154233254567087
GM.5.0.Nuclear_receptor.0109	-0.0	0.4212078262948846
GM.5.0.Homeodomain.0004	-0.0	0.04716970065365566
GM.5.0.bZIP.0071	1.2769973146342815	-0.0
GM.5.0.Unknown.0021	-0.0	0.09985167367902617
GM.5.0.Unknown.0118	-0.0	1.2057843242592434
GM.5.0.C2H2_ZF.0296	-0.0	0.6547815022833848
GM.5.0.bHLH.0024	0.9353636054604906	-0.0
GM.5.0.Unknown.0075	-0.0	0.3569706022770873
GM.5.0.Paired_box.0005	-0.0	0.5847169571289896
GM.5.0.RFX.0012	-0.0	0.59715603459365
GM.5.0.Unknown.0043	0.1397086768059652	-0.0
GM.5.0.C2H2_ZF.0150	-0.0	0.3019394134514213
GM.5.0.EIN3.0002	-0.0	0.011446258254637446
GM.5.0.Homeodomain.0148	-0.0	0.7357600049741491
GM.5.0.C2H2_ZF.0070	-0.0	2.404973304284955
GM.5.0.bZIP.0043	0.0018769247675230144	-0.0
