	z-score 3' UTR	z-score 5' UTR	z-score Distal Intergenic	z-score Downstream (<1kb)	z-score Downstream (1-2kb)	z-score Downstream (2-3kb)	z-score Exon	z-score Intron	z-score Promoter (<=1kb)	z-score Promoter (1-2kb)	z-score Promoter (2-3kb)	3' UTR % with motif	5' UTR % with motif	Distal Intergenic % with motif	Downstream (1-2kb) % with motif	Downstream (2-3kb) % with motif	Downstream (<1kb) % with motif	Exon % with motif	Intron % with motif	Promoter (1-2kb) % with motif	Promoter (2-3kb) % with motif	Promoter (<=1kb) % with motif
GM.5.0.C2H2_ZF.0107	-2.2001702698234586	-1.477347647946089	-2.073374277451812	0.37915419941397044	0.6691057168648776	0.6746002042357738	-2.003402784924443	-1.8387237011490831	0.8753711140567494	1.7262885940664374	-1.4650012117690143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0191988622896422	0.7135906584495622	0.025158815019812566
GM.5.0.bZIP.0069	-2.9289452404529324	-1.3777901341419294	0.15922004251958702	-2.07666863408018	-2.5839632322847	0.2518218092941193	-1.2184326934091383	-0.47921367348901617	-2.4325552251906046	0.3277675909198493	-1.701312699998515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.422137947380896	1.2325656827765163	0.03144851877476571
GM.5.0.Homeodomain.0098	-0.7103484757123707	0.39208365358232267	0.6741832052218354	0.48735244704774916	-0.1492829670045389	0.13891845613279702	-0.6587276920689291	-0.3307206005181932	-1.113623103085252	-0.3805891123472682	0.527362316495378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3273287508888363	2.367823548491729	0.06289703754953142
GM.5.0.Unknown.0205	-1.2561290487982075	1.1108388043620974	0.5961516444497132	-0.04800428308392174	-0.13228187222725235	-1.5496837294131351	-0.8270770928989915	-0.6811463912389084	-1.7301261047549679	-1.117498026745341	0.9518185796429165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0191988622896422	1.1352578657152124	0.06918674130448456
GM.5.0.Unknown.0127	0.8178511154938545	0.9337517850972169	1.0222847929131578	1.606632610207625	1.5431843700963537	0.555102631686894	1.863213054561333	1.603236269566662	0.04809742496609787	0.9208911349365608	-0.8854917726384894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9243896657975823	0.9730781706130393	0.03144851877476571
GM.5.0.Sox.0036	1.4858680055883149	0.8402925312839742	-0.8896370268452588	-0.8948253870855548	0.17121799263058776	-1.8598079202072784	0.40877779403911313	-1.088946214181728	-0.2805824188867745	1.1409919305384015	0.709563004473449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3510310500118512	1.1352578657152124	0.037738222529718854
GM.5.0.Unknown.0106	0.24003418226267845	-2.2421137348348408	-0.5939107145141528	-1.8139955615960441	1.5249924085002842	-2.1938547199005836	-2.128410269938041	-0.19515187075423016	-1.5899787101541718	-1.0768548979319559	-1.1610749144613908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2088172552737615	1.5893610120012975	0.06289703754953142
GM.5.0.SAND.0008	-0.04452453035125407	0.027092091480204517	-1.1983669969009627	0.11188910428760344	1.4625262124207556	1.2490529963237036	-0.02071857726728279	-0.6627086631822241	1.7788529986530437	1.3318233055113144	-0.9951874361552666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1614126570277317	1.1028219266947779	0.08176614881439084
GM.5.0.Homeodomain.0113	1.2481218104963323	-0.4235394478392843	0.5869594913916418	1.7405007232345635	0.5258379859832546	0.10022839919522952	-0.3979795909384562	1.6066782135069553	0.03841020180384473	-1.0073020852719858	1.1212815212794391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6873666745674331	1.0379500486539084	0.044027926284671996
GM.5.0.E2F.0007	0.8226340595773264	-1.1317953664330949	-1.3230777458759673	1.027439918984452	-1.404872584780865	1.3122101286419834	-1.2446940187094755	-1.3990909201393171	0.6039395055079954	0.787421272375966	-1.2734801324112546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8532827684285377	1.0703859876743431	0.037738222529718854
GM.5.0.Homeodomain.0165	-0.31627639512019295	-1.4140205272925133	-0.28590142037216415	1.6262449696369328	0.6414453086542771	1.3891627971666454	0.2747995262452344	1.2670136581538336	0.2667112521206686	0.882853179378846	-0.7107493075246986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73026783598009	1.7191047680830358	0.044027926284671996
GM.5.0.bZIP.0066	0.4204810772710815	1.50272362133946	-0.49795364016957416	-1.0107788328475131	-0.3341416830562304	-0.7652472436241143	1.975949625625488	-0.5578675261810071	-0.5811938268786004	-0.16459257809613287	-0.37258322260131355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5406494429959707	1.5893610120012975	0.08805585256934399
GM.5.0.MADS_box.0008	-0.24649421345114225	-1.0081849720224367	1.4079507729089393	-0.46377900645394027	-0.598810418712194	-0.4262157805526604	0.9619006875426181	0.5760196051399967	-0.5017397769232419	0.8805569440444552	0.23510518510652484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4695425456269258	1.8812844631852093	0.03144851877476571
GM.5.0.C2H2_ZF.0209	0.3218864444816233	2.620576323519901	2.087636632128269	0.4959899976567314	1.1436938605035394	1.1032778192427315	-0.028258040143175633	2.1474940003002954	0.7313199081527851	0.001004929277022857	0.10649578694406876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2325195543967766	1.0379500486539084	0.025158815019812566
GM.5.0.Mixed.0087	1.4225179721725723	-1.9338272369088476	0.27120374453931284	-0.31477453485139134	1.0351859676446147	-0.5635947715641154	-0.288876441693046	0.5233586888723111	-0.5678106950179589	-1.7913585541036485	-0.9856051748404328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9006873666745675	1.1028219266947779	0.03144851877476571
GM.5.0.Forkhead.0055	2.265779123612677	1.1623780335673461	1.3709884194753357	1.1884449413061773	1.8928703718285143	2.173769995717318	1.7022950196986304	1.651113783134441	1.9087400027378485	-0.29855492233603753	2.4551029315343618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.090305759658687	1.5244891339604283	0.056607333794578274
GM.5.0.Unknown.0172	-0.834361697668117	0.0417606286359991	0.32076163577655525	-0.18262349419366858	1.2873097579080208	-0.5144395256316106	-0.3402830865753575	-0.610685043106462	0.4029062263908676	-0.999180378761984	-0.1896164140630219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GM.5.0.Rel.0021	0.748173948605942	1.551785902969115	-0.7312418782215578	-0.7563751796498986	-0.621054505040186	-1.1452541273133903	-0.48422305057879367	-0.7158816579459101	1.1924845291660044	-0.4625908908602934	-0.3657692671039872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.820573595638777	2.2705157314304247	0.13208377885401595
GM.5.0.Forkhead.0027	1.7922199454746097	-0.4744613069171151	1.0643954424743671	2.156125670188792	0.8335831261607627	0.9369537327199416	0.24611407376266112	0.5692008713679619	0.8000643500440152	-0.09673479671425338	1.592333659156017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8487793315951646	2.2056438533895557	0.056607333794578274
GM.5.0.HSF.0007	-2.8903678141947604	-0.42129760823292234	-2.061783083704264	-3.4858744144182503	-2.7791544130052164	-1.0873836964937464	-3.7553500178771726	-3.066978571923989	0.14360692195057628	-1.9383312135305206	-0.985155712836615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4695425456269258	1.5893610120012975	0.07547644505943771
