# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	3' UTR	5' UTR	Distal Intergenic	Downstream (<1kb)	Downstream (1-2kb)	Downstream (2-3kb)	Exon	Intron	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (2-3kb)
GM.5.0.Paired_box.0013	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Mixed.0060	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.CUT_Homeodomain.0001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	45.4091840390893	36.89823941486416
GM.5.0.Unknown.0034	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	54.676026280709706	27.29706815001488
GM.5.0.Paired_box.0015	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	37.6011069331976	30.51866775415875
GM.5.0.Mixed.0053	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.907088807291785	19.543688784711705
GM.5.0.Ets.0043	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	36.654152435034526	11.395066025018497
GM.5.0.C2H2_ZF.0106	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	120.06426046248001	70.99073662939465
GM.5.0.ARID_BRIGHT.0003	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0099	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	34.08592122884139	20.08776411111059
GM.5.0.C2H2_ZF.0256	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	44.0591379909907	42.598564002217095
GM.5.0.Sox.0016	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	35.42622226800003	36.566995949492515
GM.5.0.STAT.0025	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	51.22172580718855	31.756280111123925
GM.5.0.Nuclear_receptor.0085	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	34.07639368686406	29.295996826802593
